instance,size,density,sa_energy,cplex_energy,velox_energy,gap_cplex,gap_sa,runtime_velox,runtime_sa,runtime_cplex
weighted_max3SATIsing_sparse_L=156_10.h5,310,0.013090530697190426,-88.03917,-88.609665,-88.60967,-8.610115e-6,-0.64801073,0.01373959,1.634408898,0.009054507
weighted_max3SATIsing_sparse_L=156_2.h5,310,0.012799167533818939,-94.8024,-95.08972,-95.08972,0.0,-0.30307567,0.013205235,1.586386453,0.007614633
weighted_max3SATIsing_sparse_L=156_3.h5,310,0.012819979188345473,-90.138,-90.245224,-90.245224,0.0,-0.11895484,0.013184908,1.600280605,0.006990652
weighted_max3SATIsing_sparse_L=156_4.h5,310,0.013152965660770032,-97.878845,-97.9954,-97.9954,0.0,-0.11908014,0.013128547,1.630311318,0.007826055
weighted_max3SATIsing_sparse_L=156_5.h5,310,0.013090530697190426,-99.72934,-99.9533,-99.95329,7.632959e-6,-0.22456104,0.013341476,1.618731815,0.00828134
weighted_max3SATIsing_sparse_L=156_6.h5,310,0.013007284079084287,-98.77651,-98.91788,-98.917885,-7.712857e-6,-0.14312378,0.013883343,1.609963982,0.007451124
weighted_max3SATIsing_sparse_L=156_7.h5,310,0.012882414151925078,-101.26832,-101.3819,-101.38189,7.5254015e-6,-0.11214876,0.014822891,1.594704995,0.006947212
weighted_max3SATIsing_sparse_L=156_8.h5,310,0.012778355879292404,-99.38076,-99.384056,-99.38405,7.676679e-6,-0.0033087581,0.033121164,1.579154589,0.007995526
weighted_max3SATIsing_sparse_L=156_9.h5,310,0.012757544224765868,-99.431786,-99.650826,-99.65083,-7.656128e-6,-0.22029933,0.013462763,1.582055928,0.007368682
weighted_max3SATIsing_sparse_L=433_1.h5,864,0.004597479423868313,-271.69357,-272.8769,-272.8769,0.0,-0.43553445,0.013327669,4.413611699,0.020373897
weighted_max3SATIsing_sparse_L=433_10.h5,864,0.004543895747599451,-265.073,-266.64883,-266.64215,0.0025064237,-0.5919701,0.013210549,4.384437765,0.0185696
weighted_max3SATIsing_sparse_L=433_2.h5,864,0.004688571673525377,-272.18286,-273.9178,-273.90674,0.0040330947,-0.63335246,0.014232262,4.490551667,0.023939893
weighted_max3SATIsing_sparse_L=433_3.h5,864,0.004672496570644719,-272.49475,-273.8522,-273.84515,0.002574221,-0.4955702,0.014464478,4.486581428,0.019728016
weighted_max3SATIsing_sparse_L=433_4.h5,864,0.004634987997256515,-266.2532,-267.65573,-267.65228,0.0012884036,-0.5254691,0.029734757,4.4592238,0.017114996
weighted_max3SATIsing_sparse_L=433_5.h5,864,0.00472608024691358,-253.33698,-255.66315,-255.66234,0.00031632086,-0.9178933,0.013981921,4.55946657,0.02118144
weighted_max3SATIsing_sparse_L=433_6.h5,864,0.004565329218106996,-268.2412,-269.72717,-269.72382,0.0012445664,-0.55271333,0.013596342,4.39146852,0.016574373
weighted_max3SATIsing_sparse_L=433_7.h5,864,0.00465642146776406,-270.31183,-271.98038,-271.98038,0.0,-0.6172681,0.013750382,4.469593934,0.021393353
weighted_max3SATIsing_sparse_L=433_8.h5,864,0.004584083504801098,-262.59348,-264.1853,-264.1853,0.0,-0.60619456,0.013925947,4.411645355,0.016918947
weighted_max3SATIsing_sparse_L=433_9.h5,864,0.004651063100137174,-265.29807,-266.9216,-266.9189,0.0010061183,-0.61095417,0.013910194,4.467552527,0.019368519
weighted_max3SATIsing_sparse_L=1000_1.h5,1998,0.002020038056074092,-614.5118,-620.1845,-620.1588,0.004143251,-0.9189464,0.017992209,11.943713535,0.04656641
weighted_max3SATIsing_sparse_L=1000_10.h5,1998,0.002000999998997997,-629.5484,-634.7753,-634.7495,0.0040672454,-0.8261654,0.014008134,10.253420865,0.043029856
weighted_max3SATIsing_sparse_L=1000_2.h5,1998,0.0020110200290380472,-610.8436,-614.9646,-614.9483,0.0026499715,-0.6719682,0.014672375,10.31260131,0.039429079
weighted_max3SATIsing_sparse_L=1000_3.h5,1998,0.002006010014018022,-614.5298,-619.5852,-619.56647,0.003024248,-0.81959933,0.015583565,10.288930761,0.040040046
weighted_max3SATIsing_sparse_L=1000_4.h5,1998,0.0019994969944919895,-595.84143,-601.90906,-601.90643,0.00043603126,-1.0178887,0.01391393,10.289649572,0.042304205
weighted_max3SATIsing_sparse_L=1000_5.h5,1998,0.001999997995993992,-621.25446,-626.4029,-626.3886,0.0022800385,-0.82641745,0.013530759,10.331362516,0.040277944
weighted_max3SATIsing_sparse_L=1000_6.h5,1998,0.0019934849764679592,-593.618,-600.3653,-600.3281,0.0061912984,-1.1303809,0.015246935,10.283105142,0.044284652
weighted_max3SATIsing_sparse_L=1000_7.h5,1998,0.002014026038050062,-603.9933,-610.3248,-610.3109,0.0022801,-1.0459764,0.019136095,10.3468275,0.042501052
weighted_max3SATIsing_sparse_L=1000_8.h5,1998,0.001994987980973967,-634.8371,-639.9828,-639.9739,0.0013924019,-0.80914927,0.014484391,10.205668592,0.036291138
weighted_max3SATIsing_sparse_L=1000_9.h5,1998,0.002000999998997997,-622.1578,-627.3827,-627.33936,0.006907261,-0.83284014,0.015307624,10.260452271,0.040518518
weighted_max3SATIsing_sparse_L=10000_1.h5,19998,0.00019969993799059873,-6117.4277,-6195.95,-6195.3154,0.010244847,-1.2732099,0.019696315,124.714885841,0.634349671
weighted_max3SATIsing_sparse_L=10000_10.h5,19998,0.00020017003200470062,-6134.244,-6208.0767,-6207.372,0.011349567,-1.1921262,0.01891154,125.027937037,0.729045462
weighted_max3SATIsing_sparse_L=10000_2.h5,19998,0.00019999499699944993,-6168.8047,-6242.287,-6241.9424,0.00552244,-1.1856055,0.019257684,124.76901491,0.56310599
weighted_max3SATIsing_sparse_L=10000_3.h5,19998,0.00020094018602780371,-6161.848,-6238.2764,-6237.8516,0.0068096486,-1.2334516,0.019582556,125.301908884,0.48428015
weighted_max3SATIsing_sparse_L=10000_4.h5,19998,0.0002008701720257034,-6144.8486,-6220.343,-6219.8843,0.007370914,-1.2211146,0.018754775,125.271214196,0.690348797
weighted_max3SATIsing_sparse_L=10000_5.h5,19998,0.00019997999399899987,-6187.345,-6260.293,-6259.7227,0.009109997,-1.1697656,0.019036688,124.755601071,0.659360189
weighted_max3SATIsing_sparse_L=10000_6.h5,19998,0.00020011002000290038,-6225.1504,-6297.6187,-6297.1226,0.007877481,-1.1561515,0.019109863,124.682086676,0.698272414
weighted_max3SATIsing_sparse_L=10000_7.h5,19998,0.00019962992398849845,-6161.8916,-6236.6494,-6236.0415,0.009747383,-1.2033627,0.018850075,124.536770897,0.707618266
weighted_max3SATIsing_sparse_L=10000_8.h5,19998,0.00020000499899974997,-6223.2485,-6299.3745,-6298.997,0.005991728,-1.2171865,0.018342699,124.949323473,0.699621283
weighted_max3SATIsing_sparse_L=10000_9.h5,19998,0.00019938487498114747,-6172.3657,-6249.654,-6249.041,0.00980523,-1.2422351,0.018859834,124.498574687,0.50815852
weighted_max3SATIsing_sparse_L=20000_1.h5,39998,0.00010010376012575318,-12204.954,-12362.686,-12361.508,0.009526526,-1.2827063,0.027192279,250.665330964,0.913049959
weighted_max3SATIsing_sparse_L=20000_10.h5,39998,0.00010005250500036878,-12375.876,-12535.71,-12534.518,0.009511889,-1.2818615,0.031745771,250.180444181,0.949725466
weighted_max3SATIsing_sparse_L=20000_2.h5,39998,0.00010011376112582818,-12210.818,-12374.512,-12373.218,0.010456536,-1.3299633,0.04234862,250.605065954,1.014887579
weighted_max3SATIsing_sparse_L=20000_3.h5,39998,9.993374312447808e-5,-12461.129,-12617.217,-12616.214,0.007948898,-1.2445499,0.03416123,249.825009606,0.896532341
weighted_max3SATIsing_sparse_L=20000_4.h5,39998,9.987998774907494e-5,-12477.483,-12636.038,-12634.931,0.008763996,-1.2618511,0.025654114,249.710279457,0.995654247
weighted_max3SATIsing_sparse_L=20000_5.h5,39998,0.00010003625337524689,-12313.594,-12468.548,-12467.265,0.0102915205,-1.2479776,0.025295488,250.362284945,1.033606596
weighted_max3SATIsing_sparse_L=20000_6.h5,39998,0.00010017876762631572,-12309.985,-12470.438,-12469.497,0.007549103,-1.2957913,0.025804689,250.449011395,1.083188061
weighted_max3SATIsing_sparse_L=20000_7.h5,39998,0.00010015751550115633,-12345.795,-12507.837,-12507.118,0.0057463977,-1.3067061,0.026722811,250.509785888,0.893361799
weighted_max3SATIsing_sparse_L=20000_8.h5,39998,9.989123887415931e-5,-12361.595,-12522.123,-12520.92,0.009607995,-1.2888725,0.027574784,249.969117788,0.893956698
weighted_max3SATIsing_sparse_L=20000_9.h5,39998,0.00010014501425106257,-12443.162,-12602.225,-12601.4,0.0065402635,-1.2716887,0.02733099,250.292928722,0.906616488
weighted_max3SATIsing_sparse_L=50000_1.h5,99998,3.9956398239947036e-5,-30870.648,-31287.63,-31284.25,0.010805738,-1.339789,0.053354643,631.05158292,2.663474736
weighted_max3SATIsing_sparse_L=50000_10.h5,99998,4.0026001024030564e-5,-30838.703,-31257.846,-31254.79,0.009778795,-1.3492329,0.053610373,634.166906711,2.629859568
weighted_max3SATIsing_sparse_L=50000_2.h5,99998,3.999559980799408e-5,-30648.506,-31069.533,-31067.266,0.0072983983,-1.3663301,0.054730402,630.666769005,2.518199426
weighted_max3SATIsing_sparse_L=50000_3.h5,99998,4.005940236007064e-5,-30831.98,-31246.357,-31244.06,0.007350857,-1.3365346,0.051618908,631.353948462,2.87554217
weighted_max3SATIsing_sparse_L=50000_4.h5,99998,4.000280009600272e-5,-30963.8,-31379.174,-31375.658,0.0112036895,-1.3301256,0.051027049,634.59183326,2.574019297
weighted_max3SATIsing_sparse_L=50000_5.h5,99998,4.00432017120512e-5,-30832.023,-31246.746,-31244.627,0.0067819566,-1.3382305,0.049328548,631.688507704,2.510267305
weighted_max3SATIsing_sparse_L=50000_6.h5,99998,3.998279929597872e-5,-30762.09,-31175.438,-31172.291,0.010092831,-1.3334633,0.051109801,629.90430003,2.571748825
weighted_max3SATIsing_sparse_L=50000_7.h5,99998,3.995959836795088e-5,-30801.445,-31223.146,-31220.729,0.0077441544,-1.3612452,0.050208256,633.219666301,2.793900653
weighted_max3SATIsing_sparse_L=50000_8.h5,99998,4.003240128003824e-5,-30909.48,-31328.396,-31326.47,0.006147079,-1.3490691,0.04955169,633.505738706,2.714280253
weighted_max3SATIsing_sparse_L=50000_9.h5,99998,3.995239807994224e-5,-30837.777,-31249.746,-31247.633,0.0067625553,-1.3290694,0.050500338,633.93605795,2.723262617
weighted_max3SATIsing_sparse_L=100000_1.h5,199998,1.999549990799861e-5,-61816.227,-62662.742,-62658.035,0.0075116907,-1.3617922,0.092836138,1523.88053718,5.693841489
weighted_max3SATIsing_sparse_L=100000_10.h5,199998,2.000750014800221e-5,-61549.695,-62398.887,-62392.48,0.0102666095,-1.3692759,0.099897094,1525.221144407,5.633385994
weighted_max3SATIsing_sparse_L=100000_2.h5,199998,2.0021150421006306e-5,-61557.92,-62410.727,-62406.117,0.0073855496,-1.3778816,0.096580847,1526.467355134,5.946576719
weighted_max3SATIsing_sparse_L=100000_3.h5,199998,2.0012550249003724e-5,-61504.402,-62354.273,-62349.75,0.0072544143,-1.3744506,0.095312832,1525.628853878,5.563600127
weighted_max3SATIsing_sparse_L=100000_4.h5,199998,2.001260025000374e-5,-61699.473,-62552.934,-62548.637,0.006869182,-1.3762906,0.124141609,1525.546892978,5.689760987
weighted_max3SATIsing_sparse_L=100000_5.h5,199998,2.000009999999999e-5,-61510.46,-62367.156,-62362.605,0.0072967596,-1.3853652,0.098839801,1524.645567436,5.605577098
weighted_max3SATIsing_sparse_L=100000_6.h5,199998,2.001240024600368e-5,-61730.055,-62577.297,-62572.83,0.007141168,-1.3652562,0.095884569,1525.417238225,5.716118896
weighted_max3SATIsing_sparse_L=100000_7.h5,199998,2.000140002600038e-5,-61626.77,-62471.98,-62467.48,0.0072032292,-1.3641977,0.092792402,1524.461416986,5.629632383
weighted_max3SATIsing_sparse_L=100000_8.h5,199998,2.000650012800191e-5,-61576.69,-62433.152,-62428.555,0.0073641264,-1.3834184,0.093784343,1524.864090404,5.671273616
weighted_max3SATIsing_sparse_L=100000_9.h5,199998,2.0015550309004624e-5,-61587.977,-62444.297,-62439.84,0.007137611,-1.3831649,0.091949717,1526.159128197,6.110669107
weighted_max3SATIsing_sparse_L=500000_1.h5,999998,3.9989979959759876e-6,-308373.7,-312743.03,-312718.94,0.007704009,-1.4090859,0.722900641,8887.077503232,40.630147529
weighted_max3SATIsing_sparse_L=500000_10.h5,999998,4.001096004368013e-6,-308035.3,-312417.1,-312393.8,0.0074519766,-1.4149352,0.583478033,8896.659513947,38.345109902
weighted_max3SATIsing_sparse_L=500000_2.h5,999998,4.000548002176006e-6,-308357.97,-312728.78,-312695.22,0.010732143,-1.4065633,0.697239525,8896.917059555,41.076025937
weighted_max3SATIsing_sparse_L=500000_3.h5,999998,3.997837991335974e-6,-307672.84,-312061.88,-312028.66,0.010644924,-1.4157286,0.548867231,8888.422120046,38.298545502
weighted_max3SATIsing_sparse_L=500000_4.h5,999998,3.999129996503989e-6,-307947.0,-312333.66,-312300.88,0.010495587,-1.413839,0.669299667,8893.046554061,38.040299042
weighted_max3SATIsing_sparse_L=500000_5.h5,999998,4.001070004264013e-6,-308164.38,-312543.72,-312509.72,0.010878478,-1.4100733,0.558237292,8894.198867502,43.440516078
weighted_max3SATIsing_sparse_L=500000_6.h5,999998,3.99916399663999e-6,-307820.3,-312191.8,-312158.22,0.010760613,-1.4092332,0.671369226,8889.282453149,38.825336675
weighted_max3SATIsing_sparse_L=500000_7.h5,999998,3.999715998847997e-6,-308210.06,-312584.47,-312537.16,0.0151359085,-1.4039431,0.582004836,8887.787954973,37.985349767
weighted_max3SATIsing_sparse_L=500000_8.h5,999998,4.000050000184001e-6,-307999.3,-312383.5,-312351.38,0.010283834,-1.4130105,0.545144392,8887.712687136,40.063936368
weighted_max3SATIsing_sparse_L=500000_9.h5,999998,4.000376001488005e-6,-308173.6,-312546.16,-312521.94,0.0077488557,-1.4110047,0.676445899,8888.654731411,38.641980546
weighted_max3SATIsing_sparse_L=1000000_1.h5,1999998,1.999684499366999e-6,-616396.94,-625227.5,-625162.1,0.010456194,-1.4220037,1.220114386,18368.671621633,84.171275406
weighted_max3SATIsing_sparse_L=1000000_10.h5,1999998,2.0003875007730013e-6,-616503.5,-625273.2,-625228.7,0.007116889,-1.4152697,1.643462833,18377.748312431,85.973626048
weighted_max3SATIsing_sparse_L=1000000_2.h5,1999998,2.000333000664001e-6,-616456.94,-625196.75,-625151.6,0.007217728,-1.410429,1.623662586,18371.514210966,84.47432064
weighted_max3SATIsing_sparse_L=1000000_3.h5,1999998,2.0007405014790022e-6,-616563.06,-625326.8,-625277.7,0.007855892,-1.41342,1.638977784,18374.578721773,105.526623765
weighted_max3SATIsing_sparse_L=1000000_4.h5,1999998,1.9998524997029995e-6,-616213.75,-625000.8,-624934.1,0.010669986,-1.4151542,1.635954853,18376.055838179,83.115899762
weighted_max3SATIsing_sparse_L=1000000_5.h5,1999998,1.999644499286999e-6,-615783.7,-624598.2,-624553.0,0.007234651,-1.4240897,1.249490558,18373.874255989,85.51144308
weighted_max3SATIsing_sparse_L=1000000_6.h5,1999998,1.999989499977e-6,-615959.25,-624769.0,-624705.3,0.010193768,-1.4199092,1.629987027,18374.758853125,86.541995582
weighted_max3SATIsing_sparse_L=1000000_7.h5,1999998,1.999936999872e-6,-616358.0,-625169.56,-625124.5,0.0072080446,-1.4223065,1.272412344,18373.481022798,88.315923793
weighted_max3SATIsing_sparse_L=1000000_8.h5,1999998,2.0005815011610016e-6,-616251.0,-625027.56,-624982.0,0.007289679,-1.4167929,1.258791924,18380.261949301,85.852563947
weighted_max3SATIsing_sparse_L=1000000_9.h5,1999998,1.9994379988739985e-6,-615561.06,-624388.6,-624339.5,0.007867696,-1.4260873,1.264069315,18369.10411765,83.376235824
weighted_max3SATIsing_sparse_L=5000000_1.h5,9999998,3.99985199994064e-7,-3.074174e6,NaN,-3.124309e6,NaN,-1.6308446,7.630680333,6552.459315284,NaN
weighted_max3SATIsing_sparse_L=5000000_10.h5,9999998,3.99970079988016e-7,-3.0746815e6,NaN,-3.1251825e6,NaN,-1.642479,7.391557089,6550.135944844,NaN
weighted_max3SATIsing_sparse_L=5000000_2.h5,9999998,3.99953719981472e-7,-3.0752122e6,NaN,-3.1254685e6,NaN,-1.6342368,7.867959053,6551.199244316,NaN
weighted_max3SATIsing_sparse_L=5000000_3.h5,9999998,3.99966519986592e-7,-3.072284e6,NaN,-3.1227855e6,NaN,-1.6437771,7.640862111,6552.226442611,NaN
weighted_max3SATIsing_sparse_L=5000000_4.h5,9999998,4.00022520008992e-7,-3.0742238e6,NaN,-3.1246675e6,NaN,-1.6408613,7.908872235,6552.525917109,NaN
weighted_max3SATIsing_sparse_L=5000000_5.h5,9999998,3.9998273999308e-7,-3.0743948e6,NaN,-3.1249438e6,NaN,-1.6441935,7.70299143,6551.731045271,NaN
weighted_max3SATIsing_sparse_L=5000000_6.h5,9999998,3.99927299970904e-7,-3.0726295e6,NaN,-3.123029e6,NaN,-1.6402727,7.666708898,6550.025052694,NaN
weighted_max3SATIsing_sparse_L=5000000_7.h5,9999998,4.00009020003592e-7,-3.0740708e6,NaN,-3.1244922e6,NaN,-1.6402192,7.648986146,6551.600346872,NaN
weighted_max3SATIsing_sparse_L=5000000_8.h5,9999998,3.9994463997784e-7,-3.0734222e6,NaN,-3.1238442e6,NaN,-1.6405815,7.746637173,6549.885333331,NaN
weighted_max3SATIsing_sparse_L=5000000_9.h5,9999998,4.00002960001168e-7,-3.0749705e6,NaN,-3.1253852e6,NaN,-1.6395198,7.714097255,6549.570947145,NaN
weighted_max3SATIsing_sparse_L=10000000_1.h5,19999998,2.00006875001373e-7,-6.149611e6,NaN,-6.2506135e6,NaN,-1.6424209,15.36131857,13144.562736461,NaN
weighted_max3SATIsing_sparse_L=10000000_2.h5,19999998,1.99984829996964e-7,-6.150307e6,NaN,-6.251123e6,NaN,-1.6392028,15.100853588,13142.444498642,NaN
weighted_max3SATIsing_sparse_L=10000000_3.h5,19999998,1.99993154998629e-7,-6.147834e6,NaN,-6.248869e6,NaN,-1.6434243,15.230365563,13143.323139754,NaN
weighted_max3SATIsing_sparse_L=10000000_4.h5,19999998,1.99996269999252e-7,-6.146898e6,NaN,-6.247853e6,NaN,-1.6423732,15.162040997,13142.026758376,NaN
weighted_max3SATIsing_sparse_L=10000000_5.h5,19999998,2.00007545001507e-7,-6.1488085e6,NaN,-6.249582e6,NaN,-1.6389111,14.855757004,13138.983908371,NaN
weighted_max3SATIsing_sparse_L=50000000_1.h5,99999998,4.000013760000549e-8,-3.0740728e7,NaN,-3.1246126e7,NaN,-1.6440666,57.252689631,65850.60667242,NaN
weighted_max3SATIsing_sparse_L=50000000_2.h5,99999998,3.999915979996638e-8,-3.0739714e7,NaN,-3.1246444e7,NaN,-1.6484538,57.149194574,65866.925688929,NaN
weighted_max3SATIsing_sparse_L=100000000_1.h5,199999998,2.0000257800005155e-8,-6.147563e7,NaN,-6.249392e7,NaN,-1.6564091,153.305412059,131757.702743584,NaN
weighted_max3SATIsing_sparse_L=100000000_2.h5,199999998,2.0000013300000264e-8,-6.147577e7,NaN,-6.2491924e7,NaN,-1.6529374,116.013430953,131758.836856329,NaN
