instance,size,density,sa_energy,cplex_energy,velox_energy,gap_cplex,gap_sa,runtime_velox,runtime_sa,runtime_cplex
weighted_max3SATIsing_sparse_L=1000_6.h5,1998,0.0019934849764679592,-593.618,-600.3653,-600.3475,0.0029685702,-1.1336402,0.114802689,10.283105142,0.044284652
weighted_max3SATIsing_sparse_L=1000_7.h5,1998,0.002014026038050062,-603.9933,-610.3248,-610.3248,0.0,-1.0482804,0.110452324,10.3468275,0.042501052
weighted_max3SATIsing_sparse_L=1000_8.h5,1998,0.001994987980973967,-634.8371,-639.9828,-639.9828,0.0,-0.81055295,0.110524788,10.205668592,0.036291138
weighted_max3SATIsing_sparse_L=1000_9.h5,1998,0.002000999998997997,-622.1578,-627.3827,-627.35876,0.0038135867,-0.8359598,0.111437911,10.260452271,0.040518518
weighted_max3SATIsing_sparse_L=10000_1.h5,19998,0.00019969993799059873,-6117.4277,-6195.95,-6195.439,0.008251042,-1.2752292,0.831530321,124.714885841,0.634349671
weighted_max3SATIsing_sparse_L=10000_10.h5,19998,0.00020017003200470062,-6134.244,-6208.0767,-6207.6807,0.0063787242,-1.1971569,0.833284542,125.027937037,0.729045462
weighted_max3SATIsing_sparse_L=10000_2.h5,19998,0.00019999499699944993,-6168.8047,-6242.287,-6241.9414,0.005538084,-1.1855898,0.820924677,124.76901491,0.56310599
weighted_max3SATIsing_sparse_L=10000_3.h5,19998,0.00020094018602780371,-6161.848,-6238.2764,-6237.7725,0.008077651,-1.2321678,0.814894848,125.301908884,0.48428015
weighted_max3SATIsing_sparse_L=10000_4.h5,19998,0.0002008701720257034,-6144.8486,-6220.343,-6219.832,0.008210837,-1.2202644,0.829050546,125.271214196,0.690348797
weighted_max3SATIsing_sparse_L=10000_5.h5,19998,0.00019997999399899987,-6187.345,-6260.293,-6259.831,0.007378474,-1.1715176,0.827768516,124.755601071,0.659360189
weighted_max3SATIsing_sparse_L=10000_6.h5,19998,0.00020011002000290038,-6225.1504,-6297.6187,-6297.213,0.0064430977,-1.1576025,0.834432916,124.682086676,0.698272414
weighted_max3SATIsing_sparse_L=10000_7.h5,19998,0.00019962992398849845,-6161.8916,-6236.6494,-6236.214,0.0069836676,-1.2061598,0.830975538,124.536770897,0.707618266
weighted_max3SATIsing_sparse_L=10000_8.h5,19998,0.00020000499899974997,-6223.2485,-6299.3745,-6298.965,0.006503312,-1.2166685,0.836299983,124.949323473,0.699621283
weighted_max3SATIsing_sparse_L=10000_9.h5,19998,0.00019938487498114747,-6172.3657,-6249.654,-6249.1353,0.008297334,-1.2437618,0.834478329,124.498574687,0.50815852
weighted_max3SATIsing_sparse_L=20000_1.h5,39998,0.00010010376012575318,-12204.954,-12362.686,-12361.566,0.009052569,-1.2831863,1.609509627,250.665330964,0.913049959
weighted_max3SATIsing_sparse_L=20000_10.h5,39998,0.00010005250500036878,-12375.876,-12535.71,-12534.772,0.0074786353,-1.2839211,1.642168641,250.180444181,0.949725466
weighted_max3SATIsing_sparse_L=20000_2.h5,39998,0.00010011376112582818,-12210.818,-12374.512,-12373.422,0.008807166,-1.3316349,1.63830564,250.605065954,1.014887579
weighted_max3SATIsing_sparse_L=20000_3.h5,39998,9.993374312447808e-5,-12461.129,-12617.217,-12616.225,0.007863759,-1.244636,1.657968737,249.825009606,0.896532341
weighted_max3SATIsing_sparse_L=20000_4.h5,39998,9.987998774907494e-5,-12477.483,-12636.038,-12634.959,0.008539873,-1.262078,1.628871656,249.710279457,0.995654247
weighted_max3SATIsing_sparse_L=20000_5.h5,39998,0.00010003625337524689,-12313.594,-12468.548,-12467.445,0.008842562,-1.2494448,1.636484551,250.362284945,1.033606596
weighted_max3SATIsing_sparse_L=20000_6.h5,39998,0.00010017876762631572,-12309.985,-12470.438,-12469.363,0.008621953,-1.2947044,1.639233522,250.449011395,1.083188061
weighted_max3SATIsing_sparse_L=20000_7.h5,39998,0.00010015751550115633,-12345.795,-12507.837,-12506.92,0.0073313406,-1.3051002,1.616907275,250.509785888,0.893361799
weighted_max3SATIsing_sparse_L=20000_8.h5,39998,9.989123887415931e-5,-12361.595,-12522.123,-12520.994,0.009015294,-1.2894729,1.619335317,249.969117788,0.893956698
weighted_max3SATIsing_sparse_L=20000_9.h5,39998,0.00010014501425106257,-12443.162,-12602.225,-12601.252,0.0077181314,-1.2704958,1.650779296,250.292928722,0.906616488
weighted_max3SATIsing_sparse_L=50000_1.h5,99998,3.9956398239947036e-5,-30870.648,-31287.63,-31284.672,0.009457362,-1.3411556,4.036358391,631.05158292,2.663474736
weighted_max3SATIsing_sparse_L=50000_10.h5,99998,4.0026001024030564e-5,-30838.703,-31257.846,-31255.078,0.008854027,-1.3501703,4.055275738,634.166906711,2.629859568
weighted_max3SATIsing_sparse_L=50000_2.h5,99998,3.999559980799408e-5,-30648.506,-31069.533,-31066.512,0.009724911,-1.3638703,4.078625,630.666769005,2.518199426
weighted_max3SATIsing_sparse_L=50000_3.h5,99998,4.005940236007064e-5,-30831.98,-31246.357,-31243.586,0.008869784,-1.3349953,4.070364545,631.353948462,2.87554217
weighted_max3SATIsing_sparse_L=50000_4.h5,99998,4.000280009600272e-5,-30963.8,-31379.174,-31376.205,0.0094608925,-1.3318917,4.048420734,634.59183326,2.574019297
weighted_max3SATIsing_sparse_L=50000_5.h5,99998,4.00432017120512e-5,-30832.023,-31246.746,-31243.902,0.0091009475,-1.3358803,4.125333982,631.688507704,2.510267305
weighted_max3SATIsing_sparse_L=50000_6.h5,99998,3.998279929597872e-5,-30762.09,-31175.438,-31172.496,0.009435012,-1.3341299,4.014192199,629.90430003,2.571748825
weighted_max3SATIsing_sparse_L=50000_7.h5,99998,3.995959836795088e-5,-30801.445,-31223.146,-31220.195,0.009451872,-1.3595141,4.016816533,633.219666301,2.793900653
weighted_max3SATIsing_sparse_L=50000_8.h5,99998,4.003240128003824e-5,-30909.48,-31328.396,-31325.695,0.008622119,-1.3465605,4.060615415,633.505738706,2.714280253
weighted_max3SATIsing_sparse_L=50000_9.h5,99998,3.995239807994224e-5,-30837.777,-31249.746,-31246.828,0.009337576,-1.32646,4.017004961,633.93605795,2.723262617
weighted_max3SATIsing_sparse_L=100000_1.h5,199998,1.999549990799861e-5,-61816.227,-62662.742,-62656.625,0.009762081,-1.359511,7.953710844,1523.88053718,5.693841489
weighted_max3SATIsing_sparse_L=100000_10.h5,199998,2.000750014800221e-5,-61549.695,-62398.887,-62393.062,0.00933385,-1.3702216,8.093332079,1525.221144407,5.633385994
weighted_max3SATIsing_sparse_L=100000_2.h5,199998,2.0021150421006306e-5,-61557.92,-62410.727,-62404.31,0.0102834385,-1.3749436,7.97304605,1526.467355134,5.946576719
weighted_max3SATIsing_sparse_L=100000_3.h5,199998,2.0012550249003724e-5,-61504.402,-62354.273,-62347.59,0.010718742,-1.3709385,9.588105481,1525.628853878,5.563600127
weighted_max3SATIsing_sparse_L=100000_4.h5,199998,2.001260025000374e-5,-61699.473,-62552.934,-62546.695,0.009972803,-1.373144,7.777930476,1525.546892978,5.689760987
weighted_max3SATIsing_sparse_L=100000_5.h5,199998,2.000009999999999e-5,-61510.46,-62367.156,-62360.344,0.010923218,-1.3816882,7.725292472,1524.645567436,5.605577098
weighted_max3SATIsing_sparse_L=100000_6.h5,199998,2.001240024600368e-5,-61730.055,-62577.297,-62570.79,0.010399639,-1.3619531,7.900564967,1525.417238225,5.716118896
weighted_max3SATIsing_sparse_L=100000_7.h5,199998,2.000140002600038e-5,-61626.77,-62471.98,-62465.344,0.010623513,-1.3607304,7.903027516,1524.461416986,5.629632383
weighted_max3SATIsing_sparse_L=100000_8.h5,199998,2.000650012800191e-5,-61576.69,-62433.152,-62427.047,0.009779209,-1.3809698,7.974931921,1524.864090404,5.671273616
weighted_max3SATIsing_sparse_L=100000_9.h5,199998,2.0015550309004624e-5,-61587.977,-62444.297,-62437.883,0.010271654,-1.3799874,7.93182315,1526.159128197,6.110669107
weighted_max3SATIsing_sparse_L=500000_1.h5,999998,3.9989979959759876e-6,-308373.7,-312743.03,-312709.8,0.01062174,-1.4061267,41.422310512,8887.077503232,40.630147529
weighted_max3SATIsing_sparse_L=500000_10.h5,999998,4.001096004368013e-6,-308035.3,-312417.1,-312383.75,0.010672832,-1.4116685,42.825849633,8896.659513947,38.345109902
weighted_max3SATIsing_sparse_L=500000_2.h5,999998,4.000548002176006e-6,-308357.97,-312728.78,-312695.3,0.010702165,-1.4065937,41.498647226,8896.917059555,41.076025937
weighted_max3SATIsing_sparse_L=500000_3.h5,999998,3.997837991335974e-6,-307672.84,-312061.88,-312028.84,0.01058484,-1.4157896,43.751079469,8888.422120046,38.298545502
weighted_max3SATIsing_sparse_L=500000_4.h5,999998,3.999129996503989e-6,-307947.0,-312333.66,-312297.72,0.011506124,-1.4128141,40.689118096,8893.046554061,38.040299042
weighted_max3SATIsing_sparse_L=500000_5.h5,999998,4.001070004264013e-6,-308164.38,-312543.72,-312511.62,0.010268563,-1.4106919,41.11113538,8894.198867502,43.440516078
