instance,size,density,cplex_energy,runtime_cplex
weighted_max3SATIsing_sparse_L=5000000_9.h5,9999998,4.00002960001168e-7,-3.1256358e6,624.834723966
weighted_max3SATIsing_sparse_L=10000000_1.h5,19999998,2.00006875001373e-7,-6.251079e6,1139.881315239
weighted_max3SATIsing_sparse_L=10000000_2.h5,19999998,1.99984829996964e-7,-6.251763e6,1104.4430954
weighted_max3SATIsing_sparse_L=10000000_3.h5,19999998,1.99993154998629e-7,-6.249333e6,1130.213073133
weighted_max3SATIsing_sparse_L=10000000_4.h5,19999998,1.99996269999252e-7,-6.2485115e6,1205.019471482
weighted_max3SATIsing_sparse_L=10000000_5.h5,19999998,2.00007545001507e-7,-6.2502565e6,1130.736452244
weighted_max3SATIsing_sparse_L=50000000_1.h5,99999998,4.000013760000549e-8,2.519183e7,3724.528098399
weighted_max3SATIsing_sparse_L=50000000_2.h5,99999998,3.999915979996638e-8,2.517874e7,3829.797889989
weighted_max3SATIsing_sparse_L=100000000_1.h5,199999998,2.0000257800005155e-8,5.0448044e7,3764.481573682
weighted_max3SATIsing_sparse_L=100000000_2.h5,199999998,2.0000013300000264e-8,5.046892e7,3762.900353575
weighted_max3SATIsing_sparse_L=500000000_1.h5,999999998,4.0000211980000845e-9,NaN,NaN
weighted_max3SATIsing_sparse_L=1000000000_1.h5,1999999998,1.9999941994999883e-9,NaN,NaN
