instance,size,density,sa_energy,cplex_energy,velox_energy,gap_cplex,gap_sa,runtime_velox,runtime_sa,runtime_cplex
random3BodyIsing_L=50000_6.h5,99998,5.000019998799944e-5,-195582.47,-198086.3,-193441.02,2.3450797,1.0949106,0.050541503,528.556794821,128.405471772
random3BodyIsing_L=50000_7.h5,99998,5.000019998799944e-5,-196762.1,-199393.25,-194431.88,2.4882362,1.1842823,0.051963181,528.132705007,119.895530808
random3BodyIsing_L=50000_8.h5,99998,5.000019998799944e-5,-196885.73,-199393.9,-194699.39,2.3543928,1.1104633,0.050482133,527.873757441,124.198492854
random3BodyIsing_L=50000_9.h5,99998,5.000019998799944e-5,-197768.1,-200363.16,-195534.7,2.4098508,1.1292977,0.050909055,531.590378303,126.102861626
random3BodyIsing_L=100000_1.h5,199998,2.5000049998499964e-5,-392532.2,-397705.1,-388246.34,2.3783326,1.0918452,0.095578419,1300.774136805,361.541157953
random3BodyIsing_L=100000_10.h5,199998,2.5000049998499964e-5,-393036.06,-398293.78,-388646.56,2.4221365,1.1168187,0.091723421,1302.297082382,349.620535894
random3BodyIsing_L=100000_2.h5,199998,2.5000049998499964e-5,-394121.5,-399413.22,-389699.62,2.431966,1.1219573,0.107824719,1308.464855835,359.812565039
random3BodyIsing_L=100000_3.h5,199998,2.5000049998499964e-5,-393520.44,-398797.22,-389060.1,2.441623,1.1334465,0.096431976,1299.985751503,356.927225268
random3BodyIsing_L=100000_4.h5,199998,2.5000049998499964e-5,-392730.7,-398018.25,-388206.28,2.465206,1.1520379,0.090181183,1301.369531514,348.10939331
random3BodyIsing_L=100000_5.h5,199998,2.5000049998499964e-5,-393973.1,-399245.22,-389533.56,2.4325042,1.1268616,0.09317329,1299.890038988,331.864296666
random3BodyIsing_L=100000_6.h5,199998,2.5000049998499964e-5,-394407.94,-399739.47,-389820.5,2.4813583,1.16312,0.091752774,1304.84766837,331.670949302
random3BodyIsing_L=100000_7.h5,199998,2.5000049998499964e-5,-393024.44,-398316.28,-388386.22,2.4930096,1.180135,0.090750211,1300.944062993,345.372803363
random3BodyIsing_L=100000_8.h5,199998,2.5000049998499964e-5,-392599.8,-397820.34,-388197.7,2.4188447,1.1212754,0.091694412,1301.529298613,346.231425795
random3BodyIsing_L=100000_9.h5,199998,2.5000049998499964e-5,-392549.03,-397740.38,-388013.3,2.4455807,1.1554528,0.091377881,1301.397734811,332.486525732
random3BodyIsing_L=500000_1.h5,999998,5.000001999988e-6,-1.9644529e6,-1.9915582e6,-1.9426992e6,2.453305,1.107363,0.961256225,7806.739366045,4906.989066777
random3BodyIsing_L=500000_10.h5,999998,5.000001999988e-6,-1.9645586e6,-1.9915361e6,-1.9423741e6,2.4685466,1.1292357,0.861699244,7806.685053278,8196.189067682
random3BodyIsing_L=500000_2.h5,999998,5.000001999988e-6,-1.9652808e6,-1.9922638e6,-1.9441244e6,2.4163153,1.0765065,0.967469231,7806.65545859,8382.69986544
random3BodyIsing_L=500000_3.h5,999998,5.000001999988e-6,-1.965913e6,-1.992853e6,-1.9444542e6,2.4286163,1.0915412,0.752477443,7806.312967161,4641.082279533
random3BodyIsing_L=500000_4.h5,999998,5.000001999988e-6,-1.9653234e6,-1.992218e6,-1.9435348e6,2.4436707,1.1086534,0.941943544,7806.262296357,7439.369067588
random3BodyIsing_L=500000_5.h5,999998,5.000001999988e-6,-1.9633962e6,-1.990193e6,-1.9417599e6,2.4335892,1.1019871,0.588434673,7806.927759327,7477.231506313
random3BodyIsing_L=500000_6.h5,999998,5.000001999988e-6,-1.9665041e6,-1.9930901e6,-1.9451161e6,2.407016,1.0876154,0.917918786,7806.122176556,4457.037517268
random3BodyIsing_L=500000_7.h5,999998,5.000001999988e-6,-1.964506e6,-1.9915329e6,-1.943113e6,2.4312866,1.088976,0.53318258,7805.937221024,8262.333211038
random3BodyIsing_L=500000_8.h5,999998,4.999977999891999e-6,-1.9654171e6,-1.9921178e6,-1.9432275e6,2.4541848,1.1290033,0.755757627,7810.808992506,8295.568349064
random3BodyIsing_L=500000_9.h5,999998,5.000001999988e-6,-1.9636796e6,-1.990407e6,-1.9418545e6,2.4393253,1.1114402,0.626235041,7806.307159974,4827.057760281
random3BodyIsing_L=1000000_1.h5,1999998,2.5000004999985e-6,-3.929844e6,-3.413026e6,-3.8875588e6,-13.903579,1.0760033,1.694180159,16108.683831424,10816.169789876
random3BodyIsing_L=1000000_10.h5,1999998,2.5000004999985e-6,-3.9289985e6,-3.5663348e6,-3.885734e6,-8.955953,1.1011585,1.708629362,16110.775452396,10822.015712477
random3BodyIsing_L=1000000_2.h5,1999998,2.4999964999905e-6,-3.9279845e6,-3.336337e6,-3.8851315e6,-16.449013,1.0909666,1.712766808,16109.153990195,10931.475228731
random3BodyIsing_L=1000000_3.h5,1999998,2.5000004999985e-6,-3.928838e6,-3.5623798e6,-3.8825835e6,-8.988479,1.1773074,1.688262291,16108.413427144,10821.378850224
random3BodyIsing_L=1000000_4.h5,1999998,2.5000004999985e-6,-3.9310735e6,-3.5655072e6,-3.888411e6,-9.05632,1.0852634,1.700685433,16108.285397284,10804.115200941
random3BodyIsing_L=1000000_5.h5,1999998,2.5000004999985e-6,-3.929471e6,-3.5667445e6,-3.8842345e6,-8.901395,1.1512109,1.694569643,16111.249771059,10804.72677537
random3BodyIsing_L=1000000_6.h5,1999998,2.5000004999985e-6,-3.9318272e6,-3.5658222e6,-3.8878195e6,-9.030099,1.1192697,1.700681273,16105.660239636,10831.388630553
random3BodyIsing_L=1000000_7.h5,1999998,2.5000004999985e-6,-3.932435e6,-3.5115e6,-3.890057e6,-10.780493,1.0776529,1.707032293,16108.318793934,10894.487719359
random3BodyIsing_L=1000000_8.h5,1999998,2.5000004999985e-6,-3.931646e6,-3.5651148e6,-3.8881372e6,-9.060648,1.1066294,1.69808799,16108.932658897,10803.854757274
random3BodyIsing_L=1000000_9.h5,1999998,2.5000004999985e-6,-3.92685e6,-3.334769e6,-3.8801578e6,-16.354618,1.189051,1.698082395,16109.264192728,10941.116553743
random3BodyIsing_L=5000000_1.h5,9999998,5.00000019999988e-7,-1.9189358e7,NaN,-1.9423122e7,NaN,-1.218196,7.993435232,6956.398213264,NaN
random3BodyIsing_L=5000000_10.h5,9999998,4.99999859999924e-7,-1.9197632e7,NaN,-1.943627e7,NaN,-1.2430595,8.069781134,6956.197910511,NaN
random3BodyIsing_L=5000000_2.h5,9999998,4.99999939999956e-7,-1.9200058e7,NaN,-1.9438192e7,NaN,-1.2402775,8.068751388,6955.689690273,NaN
random3BodyIsing_L=5000000_3.h5,9999998,4.99999939999956e-7,-1.919199e7,NaN,-1.9404012e7,NaN,-1.104742,8.063116359,6956.801786728,NaN
